Device_Number,X,Y,Remaining Energy(mJ),Device_Id
1,36.000000,4.320000,1067.825757,1
2,13.220000,0.000000,1074.782166,2
3,23.120000,36.000000,1075.055052,3
4,17.180000,8.270000,1075.089163,4
5,48.860000,32.040000,1075.089163,5
6,14.210000,32.040000,815.889163,6
7,12.850000,35.880000,815.889163,7
8,9.260000,17.180000,815.889163,8
9,45.900000,17.180000,815.889163,9
10,30.050000,16.190000,815.889163,10
11,0.000000,30.050000,1075.089163,11
12,20.860000,35.330000,1075.089163,12
13,45.140000,25.370000,1075.089163,13
14,44.900000,42.930000,1075.089163,14
15,26.090000,18.180000,1075.089163,15
16,19.160000,18.180000,556.689163,16
17,26.090000,16.190000,556.689163,17
18,14.210000,41.930000,556.689163,18
19,6.290000,44.900000,1398.972501,19
20,28.250000,6.080000,556.689163,20
21,43.910000,6.290000,556.689163,21
22,24.110000,20.150000,556.689163,22
23,4.610000,22.280000,556.689163,23
24,17.180000,23.120000,556.689163,24
25,18.270000,4.040000,556.689163,25
26,1.350000,5.300000,1075.089163,26
27,27.080000,0.000000,1075.089163,27
28,44.900000,33.020000,1075.089163,28
29,29.370000,39.930000,1075.089163,29
30,34.010000,35.000000,1075.089163,30
31,18.180000,40.940000,556.689151,31
32,4.320000,27.080000,556.689163,32
33,36.980000,46.880000,556.689163,33
34,41.930000,0.000000,556.689163,34
35,17.390000,31.220000,1398.972501,35
36,24.200000,10.130000,1075.089163,36
37,21.140000,13.220000,1075.089163,37
38,41.870000,20.300000,1075.089163,38
39,27.080000,13.220000,1075.089163,39
40,31.990000,7.900000,1075.089163,40
41,30.010000,11.980000,815.889163,41
42,10.250000,7.270000,815.889163,42
43,28.140000,29.390000,815.889163,43
44,32.040000,1.350000,815.889163,44
45,7.270000,20.150000,815.889163,45
46,43.910000,37.970000,1075.089163,46
47,4.610000,1.690000,1075.089163,47
48,34.010000,37.970000,1075.089163,48
49,23.120000,14.210000,1075.089163,49
50,13.750000,11.990000,1398.972501,50
51,48.860000,42.930000,945.489163,51
52,8.990000,30.280000,945.489163,52
53,12.230000,4.320000,945.489163,53
54,8.270000,10.250000,945.489163,54
55,33.020000,31.040000,945.489163,55
56,46.340000,36.510000,1075.089163,56
57,24.110000,42.930000,1075.089163,57
58,26.090000,34.010000,1075.089163,58
59,34.010000,42.930000,1075.089163,59
60,0.000000,6.290000,1398.396311,60
61,17.000000,43.410000,815.889163,61
62,39.050000,8.260000,815.889163,62
63,12.380000,18.660000,815.889163,63
64,35.230000,31.860000,815.889163,64
65,39.950000,29.070000,815.889163,65
66,37.970000,11.250000,1075.089163,66
67,16.190000,15.200000,1075.089163,67
68,48.860000,46.880000,1398.972501,68
69,12.230000,23.120000,1075.089163,69
70,30.050000,2.330000,1075.089163,70
71,32.040000,22.140000,556.689163,71
72,14.210000,39.950000,556.689163,72
73,39.950000,29.070000,556.689163,73
74,46.880000,4.320000,1398.782312,74
75,1.350000,9.260000,556.689163,75
76,36.000000,24.110000,1075.089163,76
77,21.140000,22.140000,1075.089163,77
78,36.980000,39.950000,1075.089163,78
79,29.070000,24.110000,1075.089163,79
80,21.140000,3.320000,1075.089163,80
81,31.040000,35.000000,556.689163,81
82,37.970000,30.050000,556.689163,82
83,22.060000,33.410000,556.689163,83
84,43.910000,19.160000,556.689163,84
85,36.000000,1.350000,556.689163,85
86,43.910000,3.320000,1075.089163,86
87,32.040000,43.910000,1075.089163,87
88,7.270000,42.930000,1075.089163,88
89,10.250000,12.230000,1075.089163,89
90,17.180000,36.000000,1075.089163,90
91,3.320000,14.210000,556.689163,91
92,15.200000,10.250000,556.689163,92
93,36.000000,19.160000,556.689163,93
94,38.810000,1.440000,556.689163,94
95,42.930000,17.180000,556.689163,95
96,19.160000,38.970000,1075.089163,96
97,40.940000,48.860000,1075.089163,97
98,37.970000,17.180000,1075.089163,98
99,40.940000,42.930000,1075.089163,99
100,29.840000,4.640000,1075.089163,100
